,feature_importance
rice,0.11832218971057858
soy sauce,0.11493991718965177
carrots,0.06380756844920779
gochujang,0.03525126359005462
fish sauce,0.03454514074187663
tomato,0.0299536750699249
garlic,0.027870753479677473
wonton wrappers,0.026625608871320334
corn,0.02605523686273852
onion,0.02372288653822357
ginger,0.022384993474487924
lime,0.01871797880140892
basil,0.018447459124432884
sesame seeds,0.01714541163587964
vanilla,0.016091083795649334
berries,0.015948739074367807
bell pepper,0.014993666465381384
mushrooms,0.014793568851185376
thyme,0.013742025621307358
broth,0.013087897581825216
cilantro,0.012725111424920513
lemon,0.012105610681698591
honey,0.010301058092406744
hoisin sauce,0.010098587971435705
mango,0.009841042516075406
broccoli,0.00902061322567048
cumin,0.008820654306139335
italian cheese,0.008751869682825483
chinese five spice,0.008743154668722147
fresh pepper,0.008302534560175502
almonds,0.008281807119740059
cabbage,0.00819948496438006
chocolate,0.00809752651232222
hot sauce or salsa,0.00807647260260345
parsley,0.007477299022185251
oregano,0.005934909034120514
chili powder,0.005902410953253445
mint,0.005260187190851191
petite peas,0.005197923096080434
potato,0.00505333010232902
sweet chili sauce,0.005029837672572666
spinach,0.004977845185133389
chives,0.0048686473692793565
chili sauce,0.00486000727811545
wine,0.004441450197377945
turmeric,0.00420519954124934
bok choy,0.004190777875676746
kelp,0.004027189282459336
daikon radish,0.004001611314441615
paprika,0.003995765943556395
celery,0.003923529012435138
barbecue sauce,0.003908809422550084
bay leaves,0.003877297670436975
bacon,0.0038019445399081558
water chestnuts,0.0037869192755422792
pasta,0.0036598867654566987
vinegar,0.003644446996395456
summer squash,0.0035033378541720235
tomato sauce,0.003316083933971808
celery seed,0.003247597928929648
dried chile,0.0032301231078248316
coconut,0.003200655689235991
mayonnaise,0.0031476382612584198
cornmeal,0.0030774558795366564
mediterranean cheese,0.003061310751415343
snow peas,0.0030204731425018793
chickpea,0.00300533415970053
orange,0.0029718221712110517
yogurt,0.002888076545637881
avocado,0.0028842994491723685
cinnamon,0.0028085308665466986
tofu,0.0024068203580678124
mustard seed,0.002126994241319333
curry,0.002105659217778773
cayenne,0.0020748353147735073
prepared mustard,0.0020184122108918533
fresh chile,0.0016519448200245145
italian cured meat,0.0016436793658068985
cauliflower,0.0015941188895416787
marjoram,0.0015518882949167208
coffee,0.0014806282556898433
sage,0.0013443285636582176
cocoa,0.0013060135004644576
tamari,0.0012923174953867098
cucumber,0.0012571000965038348
korean bbq marinade,0.00124618210566682
jicama,0.0011463562634578689
swiss chard,0.001081063900015856
shallot,0.0010792072847713085
