,0,1,2,3,4,5,6,7,8
0,cinnamon,allspice,,,,,,,
1,allspice,nutmeg,,,,,,,
2,tomato,allspice,,,,,,,
3,allspice,tomato sauce,,,,,,,
4,broth,carrots,,,,,,,
5,broth,celery,,,,,,,
6,broth,pasta,,,,,,,
7,broth,thyme,,,,,,,
8,carrots,celery,,,,,,,
9,carrots,pasta,,,,,,,
10,carrots,thyme,,,,,,,
11,celery,pasta,,,,,,,
12,celery,thyme,,,,,,,
13,cinnamon,nutmeg,,,,,,,
14,cinnamon,tomato,,,,,,,
15,cinnamon,tomato sauce,,,,,,,
16,cucumber,olives,,,,,,,
17,cucumber,parsley,,,,,,,
18,cucumber,rice,,,,,,,
19,parsley,dill,,,,,,,
20,tomato,nutmeg,,,,,,,
21,tomato sauce,nutmeg,,,,,,,
22,rice,olives,,,,,,,
23,tomato,olives,,,,,,,
24,thyme,pasta,,,,,,,
25,tomato,rice,,,,,,,
26,tomato,tomato sauce,,,,,,,
27,cinnamon,allspice,eggplant,,,,,,
28,cinnamon,garlic,allspice,,,,,,
29,cinnamon,mediterranean cheese,allspice,,,,,,
30,cinnamon,allspice,nutmeg,,,,,,
31,cinnamon,allspice,onion,,,,,,
32,cinnamon,tomato,allspice,,,,,,
33,cinnamon,allspice,tomato sauce,,,,,,
34,garlic,allspice,eggplant,,,,,,
35,mediterranean cheese,allspice,eggplant,,,,,,
36,allspice,eggplant,nutmeg,,,,,,
37,allspice,eggplant,onion,,,,,,
38,tomato,allspice,eggplant,,,,,,
39,allspice,eggplant,tomato sauce,,,,,,
40,garlic,allspice,nutmeg,,,,,,
41,garlic,allspice,onion,,,,,,
42,garlic,tomato,allspice,,,,,,
43,garlic,allspice,tomato sauce,,,,,,
44,mediterranean cheese,allspice,nutmeg,,,,,,
45,mediterranean cheese,allspice,tomato,,,,,,
46,mediterranean cheese,allspice,tomato sauce,,,,,,
47,onion,allspice,nutmeg,,,,,,
48,tomato,allspice,nutmeg,,,,,,
49,tomato sauce,allspice,nutmeg,,,,,,
50,tomato,allspice,onion,,,,,,
51,tomato sauce,allspice,onion,,,,,,
52,tomato,allspice,tomato sauce,,,,,,
53,garlic,bell pepper,lemon,,,,,,
54,garlic,bell pepper,yogurt,,,,,,
55,mediterranean cheese,bell pepper,lemon,,,,,,
56,bell pepper,yogurt,lemon,,,,,,
57,mediterranean cheese,bell pepper,yogurt,,,,,,
