,feature_importance
italian cheese,0.18182578952288977
fresh pepper,0.027996360420408373
italian cured meat,0.022721124628374993
chili powder,0.02234515330115115
basil,0.02218384388832183
cilantro,0.021869391945659886
garlic,0.020746492476604872
ladyfingers,0.019022154995746575
lime,0.018754790173487804
pasta,0.01809775887336232
wine,0.01785893772744732
chocolate,0.017840485216885856
vanilla,0.01772117538502278
corn,0.017658839008749563
pumpkin pie spice,0.017511535628861305
tomato,0.017458065444951546
cayenne,0.01584319562453963
paprika,0.015014186326083036
oregano,0.01404297935978814
onion,0.013786770845982682
hot sauce or salsa,0.013013188988595664
soy sauce,0.012596075445289226
lemon,0.012114476144576409
pineapple,0.011440449084479387
grain,0.01137886952267673
berries,0.011341696816226722
yogurt,0.011109931643813055
cinnamon,0.010863321258764855
syrup,0.010757059523123624
bell pepper,0.010212037346533174
sage,0.010152741971290838
orange,0.010076968467380985
tomato sauce,0.010068826188729382
broth,0.009397907656180808
cumin,0.009372180528141476
brie,0.009286399405685592
rice,0.009184190028491633
mayonnaise,0.00913448900186613
almonds,0.008433507795973976
parsley,0.008076913882327562
radicchio,0.007650004803064914
thyme,0.007431678585226784
broccolini,0.007154119182757971
rosemary,0.0066034368289712795
puff pastry,0.006288997486535506
plantain,0.006236311777697596
potato,0.006163525670828247
bacon,0.0061234960428689
creme fraiche,0.005913266335011219
vinegar,0.005894376416238822
ginger,0.005750795604986339
cornmeal,0.005682278677093166
cabbage,0.0055470767116049206
coffee,0.0052935742396737215
black tea bag,0.005239279686036219
marsala,0.0052017372788685096
prepared mustard,0.0051591098168239785
arrowroot,0.005053890754376784
polenta,0.00496995448774682
barbecue sauce,0.004903911118065021
petite peas,0.004876512595703587
banana,0.004742430873166036
bay leaves,0.0047057494275055236
peanut butter,0.004641852882902252
mushrooms,0.004336980223051762
avocado,0.004212169716042759
carrots,0.004160411650277657
cardomom,0.003970494008163479
celery,0.003946239112083023
honey,0.003904531614972234
spinach,0.003797521927752286
eggplant,0.00351038072990184
cocoa,0.00339826595373594
mint,0.00332244302460199
grits,0.003228111845853811
mediterranean cheese,0.0032209124527076386
canned pumpkin,0.003212585201473476
worcestershire sauce,0.00284170655970472
dill,0.0027950623721267223
shallot,0.0027006139228200952
chickpea,0.002502528554121907
coconut,0.002394282932242995
nutmeg,0.00235332475807027
apple,0.0023301993167553574
winter squash,0.002314428044098323
coriander,0.002241547916416697
coconut rum,0.002172869682040081
summer squash,0.002116523607409829
chives,0.002113138113647011
cherry,0.0019875864515613005
mustard seed,0.001941224562229096
