,feature_importance
lime,0.13146404333548087
tomato,0.03772055542383966
cilantro,0.037029438505358496
onion,0.03468107587601088
hot sauce or salsa,0.03294739414226998
corn,0.030909855221750965
enchilada sauce,0.030372881470204723
ginger,0.030091849416420402
avocado,0.0281884986036115
chili powder,0.027975377884476783
cumin,0.02319751628047288
garlic,0.020292486895340425
cinnamon,0.019453022005669906
broth,0.01828394418021498
chocolate,0.017781093518101882
mint,0.017721128751659463
bell pepper,0.017718548582358527
parsley,0.01728192563617748
soy sauce,0.013663529980456144
italian cheese,0.01365896443567611
rice,0.012940702241651886
mushrooms,0.012619181440274567
yogurt,0.01258392234693334
thyme,0.012004301670540597
vanilla,0.011805507909087758
fresh pepper,0.011623660091978866
carrots,0.011365373169607078
potato,0.010040415053238348
masala,0.009814081773727982
cherry,0.00974484211024372
mango,0.009599521840338233
tomato sauce,0.008887564135253668
basil,0.008687142811472303
fresh chile,0.00864022733318147
mexican cheese,0.008527136134239485
oregano,0.008446469770197407
lemon,0.008039774961329972
paprika,0.007885436944202387
coconut rum,0.007659081590260806
guacamole,0.006853616239076451
celery,0.006719343538964901
vinegar,0.006508898955770082
pasta,0.0064940619285647145
shallot,0.006349996717846269
curry,0.006271511164610033
cayenne,0.00615320525489024
pineapple,0.005829363641882625
honey,0.005472333902288146
cocoa,0.0051789875647732285
mexican crema,0.0049625033119280034
mayonnaise,0.004923068661746689
dried chile,0.004800510475407009
coffee,0.00479267563615238
asparagus,0.004738868542692735
plantain,0.004576910331509776
bacon,0.0045344279091603275
cardomom,0.004408084633572116
berries,0.004375173386340519
coriander,0.004353776997284987
turmeric,0.004317959771725989
fish sauce,0.00425043194261447
lentils,0.004207322933654092
polenta,0.0041903482275917146
bay leaves,0.003992900630592326
almonds,0.0035621205675170457
wine,0.00356130866531316
wonton wrappers,0.0033495160474907764
white grape juice,0.003023079178764004
apple,0.002943180149891401
tomatillos,0.0026158336143172634
orange,0.0026116739842428284
banana,0.0025232297796800238
prepared mustard,0.002389452568679531
cornmeal,0.002273981365001205
eggplant,0.0017677726223028348
grain,0.0017380889739439808
daikon radish,0.00172687570858392
sage,0.0017218939246141924
summer squash,0.0015948047170574026
nutmeg,0.0015217633829426168
mediterranean cheese,0.0014550857658001623
chickpea,0.0014261172204449574
cauliflower,0.0014233028723447695
chinese five spice,0.001381736800583097
worcestershire sauce,0.0013540637711246598
puff pastry,0.0013352454582752275
tarragon,0.0013284421742810282
hoisin sauce,0.0013236499022172288
cabbage,0.0012713400316705199
snow peas,0.0011906720577514259
masa harina,0.0011591005330364224
barbecue sauce,0.001116580325151621
mustard seed,0.0010828215488792765
cucumber,0.001051725985679573
petite peas,0.001027488586667115
celery salt,0.0009365253510184076
spinach,0.0008784605491907969
canned pumpkin,0.0008505338145720775
blackeyed peas,0.0008429794402086805
chives,0.0008357062797793533
syrup,0.0008054396225468735
dill,0.0007910054396641279
peanut butter,0.0007712359521761081
egg noodles,0.0007342633748498783
rosemary,0.0006906282304375027
swiss chard,0.0006815863334672496
tamari,0.000666927560441406
marjoram,0.000655410377962317
asafoetida,0.0006503651397146219
sesame seeds,0.0006066902189840701
ketchup,0.0005970061393332049
pumpkin pie spice,0.0005764558986619965
celery seed,0.0005668087780343689
fenugreek,0.000510210632904489
raisin,0.0004930142429819585
italian cured meat,0.0004383071290042062
poppy seeds,0.00043798729466376586
coconut,0.0003986613214377659
clove,0.00039015373859470207
saffron,0.0003748349381544091
crepes,0.00037396321490895456
ajwain,0.0003739393379796815
liquid smoke,0.00036762030789198175
xylitol,0.00030400369717177643
pear,0.00028792186639818216
grits,0.0002852317518988855
brie,0.00026185879921528424
rhubarb,0.00023393615807263809
peppermint extract,0.00023248219617859754
broccolini,0.00023242854146805284
fennel,0.00021425251517629334
flaxseed,0.0002114754212112784
thai chili,0.00018463729653723485
tahini,0.0001777850809357408
broccoli,0.0001703740256671548
okra,0.0001648162972461402
winter squash,0.0001458769720472661
water chestnuts,0.0001400481955393624
marsala,0.00012478536833713687
chili sauce,0.00012192169546064643
file powder,0.00010778068990404607
horseradish,0.00010214559553414659
arrowroot,7.775489061645096e-05
tofu,7.147524902099369e-05
hollandaise sauce,6.994022675429378e-05
zaatar,6.45077593519099e-05
artichoke,6.116026902349707e-05
gochujang,5.471544303334107e-05
sweet chili sauce,4.407732093798928e-05
bourbon,3.794830759016769e-05
kelp,3.7525926065858225e-05
olives,2.470772583963222e-05
turnip,0.0
pickle juice,0.0
paneer,0.0
sardines,0.0
tequila,0.0
hibiscus,0.0
gherkins,0.0
balsamic,0.0
prunes,0.0
banana liqueur,0.0
lemon pepper,0.0
moscato,0.0
cassava,0.0
black tea bag,0.0
escarole,0.0
wasabi powder,0.0
grand marnier,0.0
bottle gourd,0.0
miso,0.0
korean bbq marinade,0.0
fresh lavender,0.0
radicchio,0.0
mini peppers,0.0
orange marmalade,0.0
stinging nettle,0.0
sucralose,0.0
douchi,0.0
baharat,0.0
savory,0.0
tamarind pulp,0.0
grapefruit,0.0
squash blossoms,0.0
sprouts,0.0
harissa,0.0
dandelion greens,0.0
kefir,0.0
eggnog,0.0
cracked wheat,0.0
tangerine,0.0
chili garlic sauce,0.0
pico de gallo,0.0
dates,0.0
quark,0.0
matzo meal,0.0
rose water,0.0
pesto,0.0
matcha,0.0
orange bitters,0.0
marzipan,0.0
soba noodles,0.0
carob powder,0.0
vegeta,0.0
kale,0.0
guava,0.0
caraway seeds,0.0
brussels sprouts,0.0
whiskey,0.0
pita,0.0
quail,0.0
bran,0.0
beets,0.0
amaretto liqueur,0.0
peach,0.0
grapes,0.0
yam,0.0
fig,0.0
