,0,1,2,3,4,5
0,cilantro,garlic,avocado,lime,,
1,cilantro,garlic,avocado,onion,,
2,cilantro,avocado,onion,lime,,
3,cilantro,avocado,onion,tomato,,
4,onion,garlic,avocado,lime,,
5,onion,chili powder,cumin,garlic,,
6,cumin,cilantro,fresh pepper,lime,,
7,cumin,cilantro,fresh pepper,tomato,,
8,garlic,cumin,cilantro,lime,,
9,onion,cumin,cilantro,lime,,
10,tomato,cumin,cilantro,lime,,
11,garlic,cilantro,fresh pepper,lime,,
12,garlic,cilantro,fresh pepper,tomato,,
13,onion,cilantro,fresh pepper,lime,,
14,tomato,cilantro,fresh pepper,lime,,
15,onion,cumin,lime,fresh pepper,,
16,cumin,lime,fresh pepper,tomato,,
17,garlic,cumin,lime,tomato,,
18,garlic,lime,fresh pepper,tomato,,
19,onion,garlic,cilantro,avocado,lime,
20,cumin,onion,cilantro,fresh pepper,lime,
21,cumin,cilantro,fresh pepper,lime,tomato,
22,cumin,onion,cilantro,fresh pepper,tomato,
23,cumin,onion,garlic,cilantro,lime,
24,cumin,garlic,cilantro,lime,tomato,
25,cumin,onion,cilantro,lime,tomato,
26,onion,garlic,cilantro,fresh pepper,lime,
27,garlic,cilantro,fresh pepper,lime,tomato,
28,onion,garlic,cilantro,fresh pepper,tomato,
29,onion,cilantro,fresh pepper,lime,tomato,
30,onion,garlic,cilantro,lime,tomato,
31,cumin,onion,fresh pepper,lime,tomato,
32,cumin,onion,garlic,lime,tomato,
33,onion,garlic,fresh pepper,lime,tomato,
34,cumin,onion,cilantro,fresh pepper,lime,tomato
35,cumin,onion,garlic,cilantro,lime,tomato
36,onion,garlic,cilantro,fresh pepper,lime,tomato
