,cuisine,ingredient,sum
1,African,onion,22
2,African,garlic,22
5,African,bell pepper,10
6,African,tomato,22
15,African,ginger,10
19,African,thyme,22
21,African,rice,12
22,African,fresh pepper,12
25,African,potato,10
47,African,bay leaves,12
61,African,curry,22
263,American,cumin,150
264,American,onion,568
265,American,garlic,514
266,American,vanilla,963
267,American,lemon,355
268,American,bell pepper,360
269,American,tomato,87
270,American,chocolate,369
271,American,mushrooms,78
272,American,italian cheese,56
273,American,parsley,186
274,American,cinnamon,600
275,American,berries,125
276,American,corn,180
277,American,broth,132
278,American,ginger,163
279,American,lime,50
280,American,carrots,67
281,American,vinegar,274
282,American,thyme,9
283,American,basil,42
284,American,rice,34
285,American,fresh pepper,113
286,American,almonds,153
287,American,cilantro,53
288,American,potato,178
289,American,honey,241
290,American,wine,92
291,American,apple,430
292,American,pasta,99
293,American,orange,182
294,American,cocoa,316
295,American,chili powder,71
296,American,yogurt,54
297,American,bacon,201
298,American,hot sauce or salsa,85
299,American,banana,60
300,American,nutmeg,234
301,American,soy sauce,30
302,American,celery,56
303,American,cayenne,123
304,American,shallot,103
305,American,syrup,97
306,American,mediterranean cheese,157
307,American,mayonnaise,157
308,American,coconut,132
309,American,coffee,190
310,American,bay leaves,26
311,American,oregano,72
312,American,tomato sauce,80
313,American,paprika,98
314,American,prepared mustard,139
315,American,spinach,44
316,American,mint,41
317,American,avocado,83
318,American,rosemary,26
319,American,chives,83
320,American,pineapple,27
321,American,peanut butter,32
322,American,worcestershire sauce,48
323,American,cherry,86
324,American,curry,27
325,American,cabbage,18
326,American,turmeric,28
327,American,summer squash,60
328,American,barbecue sauce,31
329,American,dill,21
330,American,pear,85
331,American,mango,17
332,American,mustard seed,84
333,American,chickpea,43
334,American,cucumber,31
335,American,broccoli,11
336,American,coriander,7
337,American,cornmeal,11
338,American,eggplant,8
340,American,cauliflower,36
341,American,grain,20
342,American,dates,66
343,American,olives,25
344,American,raisin,83
345,American,ketchup,65
347,American,fresh chile,13
348,American,sesame seeds,16
349,American,clove,71
350,American,flaxseed,54
351,American,winter squash,53
352,American,kale,11
353,American,beer,34
354,American,cardomom,22
355,American,asparagus,34
356,American,allspice,61
357,American,capers,26
359,American,agave,37
360,American,fennel,26
361,American,molasses,67
363,American,watermelon,29
364,American,tofu,27
365,American,dried chile,11
366,American,puff pastry,42
367,American,artichoke,8
368,American,plantain,39
369,American,apricot,19
370,American,canned pumpkin,30
371,American,brussels sprouts,32
372,American,swiss chard,21
373,American,beets,44
375,American,grapes,40
377,American,couscous,19
379,American,grits,31
381,American,tarragon,24
382,American,leek,7
384,American,liquid smoke,19
385,American,oats,26
386,American,brie,12
389,American,peppermint extract,33
390,American,sunflower kernels,13
391,American,rhubarb,19
393,American,polenta,7
394,American,lentils,11
395,American,hazelnuts,35
396,American,tahini,9
397,American,pumpkin pie spice,16
398,American,celery salt,11
399,American,pumpkin seeds,18
401,American,horseradish,20
404,American,apple juice,6
407,American,hoisin sauce,8
410,American,creme fraiche,7
413,American,maple,31
415,American,marsala,8
416,American,herbes de provence,30
417,American,port,16
418,American,dulce de leche,11
419,American,fig,9
420,American,yam,18
421,American,chinese five spice,14
422,American,arrowroot,14
425,American,water chestnuts,16
426,American,bran,26
428,American,pita,25
432,American,xylitol,24
435,American,hollandaise sauce,11
436,American,caramel sauce,24
438,American,masa harina,11
439,American,thai chili,14
440,American,coconut rum,13
446,American,chai spice,10
451,American,radish,8
454,American,tea,7
457,American,watercress,16
459,American,anise,16
466,American,green grapes,14
478,American,grand marnier,11
486,American,prunes,11
489,American,tequila,11
496,American,mini peppers,10
497,American,carob powder,10
508,American,pico de gallo,8
509,American,chili garlic sauce,8
512,American,cracked wheat,8
517,American,sprouts,7
519,American,grapefruit,7
526,Asian,cumin,18
527,Asian,onion,458
528,Asian,garlic,515
529,Asian,vanilla,155
530,Asian,lemon,128
531,Asian,bell pepper,169
532,Asian,tomato,38
534,Asian,mushrooms,111
535,Asian,italian cheese,6
536,Asian,parsley,79
