,cinnamon,allspice,asafoetida,bay leaves,cardomom,coriander,cumin,fresh chile,clove,fenugreek,turmeric,curry,rosemary,ginger,cayenne,mint,fresh pepper,prepared mustard,cilantro,oregano,paprika,thyme,basil
allspice,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ginger,6,2,0,0,2,0,5,0,2,0,2,2,0,0,2,0,2,0,5,0,0,0,1
nutmeg,8,4,0,0,1,0,1,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0
cayenne,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chili powder,0,0,8,0,0,13,16,0,0,0,6,0,0,5,8,1,5,0,1,4,5,0,1
coriander,0,0,4,0,0,0,10,0,0,2,5,0,0,3,3,0,2,0,1,0,0,0,0
cumin,2,0,1,0,3,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0
horseradish,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cardomom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cilantro,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clove,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fenugreek,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paprika,3,0,0,0,0,0,8,0,0,0,1,0,0,0,2,0,5,0,5,1,0,0,0
turmeric,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
thyme,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1
fresh pepper,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
mustard seed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
