,0,1,2,3,4
0,allspice,cinnamon,,,
1,ginger,allspice,,,
2,nutmeg,allspice,,,
3,cayenne,asafoetida,,,
4,chili powder,asafoetida,,,
5,coriander,asafoetida,,,
6,cumin,asafoetida,,,
7,horseradish,bay leaves,,,
8,cardomom,cinnamon,,,
9,ginger,cardomom,,,
10,chili powder,coriander,,,
11,chili powder,cumin,,,
12,cilantro,fresh chile,,,
13,clove,cinnamon,,,
14,nutmeg,cinnamon,,,
15,ginger,clove,,,
16,nutmeg,clove,,,
17,coriander,cumin,,,
18,coriander,fenugreek,,,
19,coriander,turmeric,,,
20,fenugreek,cumin,,,
21,paprika,cumin,,,
22,turmeric,cumin,,,
23,ginger,curry,,,
24,thyme,rosemary,,,
25,ginger,allspice,cinnamon,,
26,nutmeg,allspice,cinnamon,,
27,nutmeg,ginger,allspice,,
28,chili powder,cayenne,asafoetida,,
29,coriander,cayenne,asafoetida,,
30,cayenne,cumin,asafoetida,,
31,chili powder,coriander,asafoetida,,
32,chili powder,cumin,asafoetida,,
33,coriander,cumin,asafoetida,,
34,chili powder,mint,basil,,
35,ginger,fresh pepper,basil,,
36,fresh pepper,turmeric,basil,,
37,thyme,rosemary,basil,,
38,cumin,cardomom,cinnamon,,
39,ginger,cardomom,cinnamon,,
40,nutmeg,cardomom,cinnamon,,
41,cumin,ginger,cardomom,,
42,chili powder,coriander,cayenne,,
43,chili powder,cayenne,cumin,,
44,chili powder,fresh pepper,cayenne,,
45,cumin,cayenne,cilantro,,
46,coriander,cayenne,cumin,,
47,fresh pepper,cayenne,cumin,,
48,ginger,cayenne,cumin,,
49,paprika,cayenne,cumin,,
50,paprika,fresh pepper,cayenne,,
51,ginger,cayenne,turmeric,,
52,thyme,prepared mustard,cayenne,,
53,chili powder,cilantro,cumin,,
54,chili powder,coriander,cumin,,
55,chili powder,coriander,ginger,,
56,chili powder,oregano,cumin,,
57,chili powder,paprika,cumin,,
58,chili powder,turmeric,cumin,,
59,chili powder,oregano,fresh pepper,,
60,chili powder,fresh pepper,paprika,,
61,chili powder,ginger,turmeric,,
62,chili powder,oregano,paprika,,
63,cilantro,cumin,cinnamon,,
64,ginger,cilantro,cinnamon,,
65,paprika,cilantro,cinnamon,,
66,coriander,cilantro,cumin,,
67,fresh pepper,cilantro,cumin,,
68,ginger,cilantro,cumin,,
69,paprika,cilantro,cumin,,
70,turmeric,cilantro,cumin,,
71,ginger,cilantro,curry,,
72,ginger,fresh pepper,cilantro,,
73,paprika,fresh pepper,cilantro,,
74,ginger,clove,cinnamon,,
75,nutmeg,clove,cinnamon,,
76,ginger,cumin,cinnamon,,
77,nutmeg,cumin,cinnamon,,
78,paprika,cumin,cinnamon,,
79,nutmeg,ginger,cinnamon,,
80,nutmeg,ginger,clove,,
81,coriander,fenugreek,cumin,,
82,coriander,fresh pepper,cumin,,
83,coriander,ginger,cumin,,
84,coriander,turmeric,cumin,,
85,coriander,fresh pepper,turmeric,,
86,coriander,ginger,turmeric,,
87,paprika,fresh pepper,cumin,,
88,thyme,fresh pepper,cumin,,
89,ginger,turmeric,cumin,,
90,paprika,turmeric,cumin,,
91,paprika,oregano,fresh pepper,,
92,mustard seed,thyme,prepared mustard,,
93,nutmeg,ginger,allspice,cinnamon,
94,chili powder,coriander,cayenne,asafoetida,
95,chili powder,cayenne,cumin,asafoetida,
96,coriander,cayenne,cumin,asafoetida,
97,chili powder,coriander,cumin,asafoetida,
98,cumin,ginger,cardomom,cinnamon,
99,chili powder,coriander,cayenne,cumin,
100,chili powder,coriander,ginger,cumin,
101,chili powder,coriander,turmeric,cumin,
102,chili powder,coriander,ginger,turmeric,
103,chili powder,fresh pepper,paprika,cumin,
104,chili powder,ginger,turmeric,cumin,
105,chili powder,oregano,fresh pepper,paprika,
106,ginger,cilantro,cumin,cinnamon,
107,paprika,cilantro,cumin,cinnamon,
108,paprika,fresh pepper,cilantro,cumin,
109,nutmeg,ginger,clove,cinnamon,
110,coriander,ginger,turmeric,cumin,
111,chili powder,asafoetida,coriander,cayenne,cumin
112,chili powder,turmeric,coriander,cumin,ginger
