Ingredient,Group,Count
cumin,Group_1,321
chili powder,Group_1,223
paprika,Group_1,150
fresh pepper,Group_1,123
cayenne,Group_1,111
coriander,Group_1,96
oregano,Group_1,79
turmeric,Group_1,70
ginger,Group_1,52
curry,Group_1,43
asafoetida,Group_1,34
fresh chile,Group_1,29
fenugreek,Group_1,27
nutmeg,Group_1,22
chives,Group_1,22
dill,Group_1,21
cilantro,Group_1,16
ajwain,Group_1,16
mustard seed,Group_1,15
tarragon,Group_1,14
thai chili,Group_1,14
dried chile,Group_1,11
masa harina,Group_1,11
cinnamon,Group_1,10
thyme,Group_1,7
prepared mustard,Group_1,7
bay leaves,Group_1,6
star anise,Group_1,6
douchi,Group_1,6
cinnamon,Group_2,984
ginger,Group_2,520
nutmeg,Group_2,371
fresh pepper,Group_2,216
mint,Group_2,198
bay leaves,Group_2,175
cayenne,Group_2,157
rosemary,Group_2,140
chives,Group_2,119
oregano,Group_2,116
dill,Group_2,116
flaxseed,Group_2,112
clove,Group_2,107
mustard seed,Group_2,104
allspice,Group_2,97
sage,Group_2,92
chili powder,Group_2,88
cardomom,Group_2,84
paprika,Group_2,68
curry,Group_2,61
dried chile,Group_2,56
cumin,Group_2,43
turmeric,Group_2,41
celery salt,Group_2,41
saffron,Group_2,35
herbes de provence,Group_2,30
tarragon,Group_2,28
chinese five spice,Group_2,28
horseradish,Group_2,26
marjoram,Group_2,25
gochujang,Group_2,24
xylitol,Group_2,24
green tea bag,Group_2,23
celery seed,Group_2,21
lemon grass,Group_2,21
fresh chile,Group_2,19
tea,Group_2,17
anise,Group_2,16
wasabi powder,Group_2,12
fresh lavender,Group_2,12
cilantro,Group_2,11
lemon pepper,Group_2,11
hibiscus,Group_2,11
chai spice,Group_2,10
star anise,Group_2,10
carob powder,Group_2,10
thai chili,Group_2,9
zaatar,Group_2,9
matcha,Group_2,9
rose water,Group_2,8
quark,Group_2,8
caraway seeds,Group_2,7
kefir,Group_2,7
savory,Group_2,6
baharat,Group_2,6
thyme,Group_3,623
bay leaves,Group_3,109
rosemary,Group_3,105
basil,Group_3,71
fresh pepper,Group_3,56
curry,Group_3,45
ginger,Group_3,42
cumin,Group_3,41
sage,Group_3,40
paprika,Group_3,20
cayenne,Group_3,19
turmeric,Group_3,19
coriander,Group_3,19
amchoor,Group_3,19
oregano,Group_3,18
cilantro,Group_3,13
nutmeg,Group_3,12
chives,Group_3,12
dill,Group_3,12
marjoram,Group_3,10
celery seed,Group_3,10
mint,Group_3,9
file powder,Group_3,8
basil,Group_4,535
oregano,Group_4,61
ginger,Group_4,57
cilantro,Group_4,49
chili powder,Group_4,48
fresh pepper,Group_4,43
mint,Group_4,38
boquerones,Group_4,20
chives,Group_4,16
paprika,Group_4,13
cayenne,Group_4,12
turmeric,Group_4,12
miso,Group_4,12
cumin,Group_4,8
cilantro,Group_5,538
cumin,Group_5,182
fresh pepper,Group_5,132
ginger,Group_5,104
chili powder,Group_5,99
cayenne,Group_5,55
turmeric,Group_5,55
fresh chile,Group_5,55
cinnamon,Group_5,44
oregano,Group_5,38
mint,Group_5,33
curry,Group_5,32
coriander,Group_5,30
paprika,Group_5,29
dried chile,Group_5,18
cardomom,Group_5,15
rosemary,Group_5,13
mustard seed,Group_5,13
bay leaves,Group_5,7
clove,Group_5,7
caraway seeds,Group_5,7
harissa,Group_5,7
masa harina,Group_5,6
prepared mustard,Group_6,284
thyme,Group_6,54
chives,Group_6,52
bay leaves,Group_6,34
paprika,Group_6,34
mustard seed,Group_6,32
cayenne,Group_6,23
ginger,Group_6,16
fresh pepper,Group_6,15
dill,Group_6,13
marjoram,Group_6,13
basil,Group_6,12
mint,Group_6,12
horseradish,Group_6,11
curry,Group_6,10
tarragon,Group_6,10
cilantro,Group_6,7
