ripe banana,banana
fresh basil,basil
black beans,beans
canned kidney beans,beans
canned pinto beans,beans
chili beans,beans
dried black beans,beans
refried beans,beans
95 percent lean ground beef,beef
beef cubes,beef
beef shoulder roast,beef
flank steak,beef
ground chuck,beef
round tip steak,beef
skirt steak,beef
steak,beef
green pepper,bell pepper
orange pepper,bell pepper
red pepper,bell pepper
roasted red peppers,bell pepper
yellow pepper,bell pepper
canned black beans,beans
french bread,bread
beef broth,broth
chicken broth,broth
chicken stock,broth
low sodium chicken broth,broth
red cabbage,cabbage
canned chipotle chile,canned pepper
canned green chiles,canned pepper
chipotle chiles,canned pepper
peppers,fresh peppers
ground cayenne pepper,cayenne
cheddar cheese,cheese
colby jack,cheese
cotija cheese,cheese
cream cheese,cheese
extra sharp cheddar cheese,cheese
feta cheese,cheese
goat cheese,cheese
grilling cheese,cheese
low fat shredded cheddar,cheese
mexican cheese,cheese
monterey jack cheese,cheese
queso fresco,cheese
sharp cheddar cheese,cheese
shredded cheddar cheese,cheese
shredded cheese,cheese
shredded mexican cheese blend,cheese
soy cheese,cheese
boneless skinless chicken breast,chicken
boneless skinless chicken thighs,chicken
chicken breast,chicken
chicken breast halves,chicken
chicken meat,chicken
rotisserie chicken,chicken
shredded chicken,chicken
whole chicken,chicken
condensed cream of chicken soup,chicken soup
ancho chili powder,chili powder
chili pepper,chili powder
chili powder,chili powder
chili seasoning mix,chili powder
ground chipotle chile pepper,chipotle
dried cilantro,cilantro
cod fillets,fish
ground coriander,coriander
corn kernels,corn
creamed corn,corn
frozen corn,corn
sweet corn on the cob,corn
whole kernel corn,corn
mexican crema,crema
creole seasoning,creole season
persian cucumber,cucumber
cumin seeds,cumin
ground cumin,cumin
dried arbol chile,dried pepper
green enchilada sauce,enchilada sauce
salmon,fish
swordfish,fish
tilapia,fish
anaheim pepper,fresh pepper
green chili pepper,fresh pepper
jalapeno pepper,fresh pepper
pasilla pepper,fresh pepper
poblano pepper,fresh pepper
serrano pepper,fresh pepper
garlic powder,garlic
garlic salt,garlic
whole garlic cloves,garlic
ginger,ginger
guacamole,guacamole
smoked ham hock,ham hock
light vanilla ice cream,ice cream
italian seasoning,italian season
lemon juice,lemon
lemon peel,lemon
butter lettuce leaves,lettuce
romaine,lettuce
lime juice,lime
lime peel,lime
lime wedge,lime
dried mango,mango
condensed cream of mushroom soup,mushroom soup
fresh mushrooms,mushrooms
mustard powder,mustard powder
coconut oil,oil
cooking oil,oil
extra virgin olive oil,oil
grape seed oil,oil
light olive oil,oil
olive oil,oil
peanut oil,oil
rice bran oil,oil
vegetable oil,oil
black olives,olives
olives,olives
onion powder,onion
red onion,onion
white onion,onion
yellow onion,onion
spring onions,onion
navel orange,orange
orange juice,orange
smoked paprika,paprika
peas and carrots,pea
pico de gallo,pico de gallo
pistachio nuts,pistachio
boston butt,pork
lean pork tenderloin,pork
pork chops,pork
ground pork sausage,pork sausage
yukon gold potato,potato
cooked quinoa,quinoa
red pepper flakes,red pepper flake
brown rice,rice
cooked brown rice,rice
cooked rice,rice
picante sauce,salsa
salsa verde,salsa
kosher salt,salt and pepper
black pepper,salt and pepper
coarse sea salt,salt and pepper
salt,salt and pepper
seasoned salt,salt and pepper
white pepper,salt and pepper
vegetable stock,broth
dark brown sugar,sugar
golden brown sugar,sugar
dried thyme,thyme
canned diced tomatoes,tomato
canned tomatoes,tomato
cherry tomato,tomato
diced tomatoes with green chilies,tomato
fire roasted tomatoes,tomato
italian tomato,tomato
plum tomato,tomato
tomato juice,tomato
tomato paste,tomato
canned tomato sauce,tomato sauce
burrito size tortilla,tortilla
flour tortilla,tortilla
scoops tortilla chips,tortilla
white corn tortilla,tortilla
wrap,tortilla
corn tortilla chips,tortilla
ground turkey,turkey
apple cider vinegar,vinegar
balsamic vinegar,vinegar
distilled white vinegar,vinegar
white wine vinegar,vinegar
fat free greek yogurt,yogurt
greek yogurt,yogurt
low fat yogurt,yogurt
